Unnamed: 0,Airline,Source,Destination,codeshare,transfers,planes,source_lat,dest_lat,source_lon,dest_lon,Source Airport Name,Destination Airport Name,Trace_name
22512,FG,KBL,DXB,False,0,"['313', '727']",34.56069,25.248665,69.21152,55.352917,Kabul International Airport (KBL),Dubai Airport (DXB),From KBL to DXB
22513,FG,KBL,ESB,False,0,['310'],34.56069,40.11494,69.21152,32.993145,Kabul International Airport (KBL),Esenboga International Airport (ESB),From KBL to ESB
22514,FG,KBL,IST,False,0,['313'],34.56069,40.9769,69.21152,28.82055,Kabul International Airport (KBL),Istanbul New Airport (IST),From KBL to IST
22515,FG,KBL,IST,False,1,['737'],34.56069,40.9769,69.21152,28.82055,Kabul International Airport (KBL),Istanbul New Airport (IST),From KBL to IST
22516,FG,KBL,SVO,False,0,['310'],34.56069,55.966324,69.21152,37.416573,Kabul International Airport (KBL),Sheremetyevo International Airport (SVO),From KBL to SVO
22517,FG,KBL,URC,False,0,['727'],34.56069,43.90126,69.21152,87.47515,Kabul International Airport (KBL),Urumqi Diwopu International Airport (URC),From KBL to URC
22518,FG,KDH,DEL,False,0,['727'],31.506945,28.556555,65.8475,77.10079,Kandahar Airport (KDH),Indira Gandhi International Airport (DEL),From KDH to DEL
22519,FG,KDH,DXB,False,0,['727'],31.506945,25.248665,65.8475,55.352917,Kandahar Airport (KDH),Dubai Airport (DXB),From KDH to DXB
22520,FG,SVO,KBL,False,0,['310'],55.966324,34.56069,37.416573,69.21152,Sheremetyevo International Airport (SVO),Kabul International Airport (KBL),From SVO to KBL
22521,FG,URC,KBL,False,0,['313'],43.90126,34.56069,87.47515,69.21152,Urumqi Diwopu International Airport (URC),Kabul International Airport (KBL),From URC to KBL
25950,FZ,DXB,KBL,False,0,['73H'],25.248665,34.56069,55.352917,69.21152,Dubai Airport (DXB),Kabul International Airport (KBL),From DXB to KBL
25983,FZ,KBL,DXB,False,0,['73H'],34.56069,25.248665,69.21152,55.352917,Kabul International Airport (KBL),Dubai Airport (DXB),From KBL to DXB
26814,G9,KBL,SHJ,False,0,['320'],34.56069,25.320873,69.21152,55.52029,Kabul International Airport (KBL),Sharjah International Airport (SHJ),From KBL to SHJ
